A/A;Κωδικός;Κωδ.εργοστασίου;Περιγραφή;Ομάδα;Υποομάδα;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Κόστος απογραφής;Κόστος πωληθέντων;Αξία πωληθέντων;Κόστος υπολοίπου;Συντελεστής Μ.Κ.;
82;003192;PM II  IFB  08ENC;Processor Module II;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
83;003196;MC115-110;Sensor cable, 110m roll;ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
84;003204;PS49;Power supply 220vac;IT;POWER SUPPLIES;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
85;003278;PIP-006;25MM 45 ELBOW (pack of 10);FIRE DETECTION;VESDA & PIPING;4,00;1,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;1,34;0,00;0,00;4,00;1,34;1,34;0,00;0,00;1,34;0,00;
86;003279;CC9000-SL;C•CURE 9000 Series L System Licence Only. C•CURE 9000 Software supports: ;ACCESS CONTROL;LICENSE/SOFTWARE ACCESS CONTROL;0,00;0,00;0,00;0,00;0,00;0,00;2,00;935,92;1,00;0,00;2,00;935,92;1,00;0,00;1,00;415,97;0,00;0,00;0,00;415,97;0,00;
87;003297;12V-2.3AH;Συσσωρευτής 12V-2.3 AH;ΛΟΙΠΑ;ΜΠΑΤΑΡΙΕΣ;1,00;6,23;0,00;0,00;0,00;0,00;0,00;0,00;1,00;10,30;1,00;6,23;1,00;10,30;0,00;0,00;6,23;6,23;10,30;0,00;39,51;
88;003299;141-19-0000;TRANSFORMER 30VA 230V/16.5V;ΛΟΙΠΑ;ΤΡΟΦΟΔΟΤΙΚΑ;1,00;1,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,61;0,00;0,00;1,00;1,61;1,61;0,00;0,00;1,61;0,00;
89;003311;516.054.011.Y;MR601TEx Conventional optical smoke detector;FIRE DETECTION;ΑΝΙΧΝΕΥΤΕΣ FIRE CONVENTIONAL;3,00;162,49;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;162,49;3,00;0,00;0,00;0,00;162,49;0,00;0,00;0,00;0,00;
90;003312;516.052.051.Y;MD601Ex Conventional Rate of Rise Heat Detector;FIRE DETECTION;ΑΝΙΧΝΕΥΤΕΣ FIRE CONVENTIONAL;3,00;137,03;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;137,03;3,00;0,00;0,00;0,00;137,03;0,00;0,00;0,00;0,00;
91;003350;MIC-DCA-G;DEEP CONDUIT ADAPTER GREY;IT;ΠΑΡΕΛΚΟΜΕΝΑ IT;4,00;230,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;230,56;0,00;0,00;4,00;230,56;230,56;0,00;0,00;230,56;0,00;
92;003351;MIC-WMB-G;WALL MOUNT BRACKET;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;3,00;273,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;273,99;0,00;0,00;3,00;273,99;273,99;0,00;0,00;273,99;0,00;
93;003375;ADVE40R01D710;NVR , RACKMOUNT 2U;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;9,00;2.633,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;2.633,31;0,00;0,00;9,00;2.633,31;2.633,31;0,00;0,00;2.633,31;0,00;
94;003388;LADY FPI;Σειρήνα εξωτερική μεταλλική;INTRUSION/BA;ΣΕΙΡΗΝΕΣ BA;1,00;38,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;38,48;0,00;0,00;1,00;38,48;38,48;0,00;0,00;38,48;0,00;
95;003389;DSC-PC4020;PC4020 CENTRAL 16-128 ZONES 8 (LCD4501);INTRUSION/BA;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ BA;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
96;003421;WS8939;ΑΣΥΡΜΑΤΟ ΚΛΕΙΔΙ ΟΠΛΙΣΗΣ/ΑΦΟΠΛΙΣΗΣ;INTRUSION/BA;ΠΛΗΚΤΡΟΛΟΓΙΑ BA;1,00;44,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;44,00;0,00;0,00;1,00;44,00;44,00;0,00;0,00;44,00;0,00;
97;003450;40781-;ΜΕΤΑΣΧΗΜΑΤΙΣΤΗΣ 12V 1,5A;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;1,00;1,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,80;0,00;0,00;1,00;1,80;1,80;0,00;0,00;1,80;0,00;
98;003452;NED-5626595;NEDAP TRANSIT Pole mounting kit Stainless steel pole mounting kit suitable for Nedap TRANSIT Standard reader, attaches to wall m;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;4,00;527,33;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;527,33;4,00;0,00;0,00;0,00;527,33;0,00;0,00;0,00;0,00;
99;003461;AAS-400BW;ΠΟΜΠΟΣ & ΔΕΚΤΗΣ ΓΙΑ ΠΑΡΑΓΩΓΗ ΦΡΑΚΤΗ ΥΠΕΡΥΘΡΩΝ (BEAMS);INTRUSION/BA;BEAMS BA;3,00;239,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;239,62;0,00;0,00;3,00;239,62;239,62;0,00;0,00;239,62;0,00;
100;003475;AAS-200BW;BARRIER SENSOR 2 BEAMS;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;2,00;126,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;126,18;0,00;0,00;2,00;126,18;126,18;0,00;0,00;126,18;0,00;
101;003479;EDOCD102;DISTRIBUTION BOX 1 INPUT 2 OUTPUTS;ΛΟΙΠΑ;ΛΟΙΠΑ ΠΑΡΕΛΚΟΜΕΝΑ;5,00;104,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;104,96;0,00;0,00;5,00;104,96;104,96;0,00;0,00;104,96;0,00;
102;003522;508.040.100;TXG USB Server dongle : software license;FIRE DETECTION;LICENSE/SOFTWARE FIRE DET;0,00;0,00;0,00;0,00;0,00;0,00;1,00;540,76;0,00;0,00;1,00;540,76;0,00;0,00;1,00;421,58;0,00;0,00;0,00;421,58;0,00;
103;003539;KT-MOD-INP16;16-zone, input expansion module with SPI cable (KT-MOD-SPI-16) ;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;7,00;733,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;733,21;0,00;0,00;7,00;733,21;733,21;0,00;0,00;733,21;0,00;
104;003557;PS-2023;ΜΑΓΝΗΤΙΚΗ ΕΠΑΦΗ ΕΛΕΓΧΟΥ ΑΝΟΙΓΜΑΤΟΣ ΣΥΡΟΜΕΝΗΣ ΘΥΡΑΣ ΒΑΡΕΩΣ ΤΥΠΟΥ;INTRUSION/BA;ΕΠΑΦΕΣ BA;46,00;511,10;0,00;0,00;0,00;0,00;0,00;0,00;20,00;336,38;46,00;511,10;20,00;336,38;26,00;288,88;511,10;222,22;336,38;288,88;33,94;
105;003584;ADCI400-D044;Κάμερα εξωτερικού χώρου 2/3MP, IP ready, Day/Night τύπου θόλου;CCTV;ΚΑΜΕΡΕΣ DOME;3,00;893,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;893,70;0,00;0,00;3,00;893,70;893,70;0,00;0,00;893,70;0,00;
106;003586;ESCORT;ESCORT 5580TC BOARD ΣΥΣΤΗΜΑ ΕΠΙΚΟΙΝΩΝΙΩΝ ΜΕ ΚΛΣ;INTRUSION/BA;ΠΛΑΚΕΤΕΣ/ΕΠΕΚΤΑΣΕΙΣ BA;1,00;72,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;72,90;0,00;0,00;1,00;72,90;72,90;0,00;0,00;72,90;0,00;
107;003594;ADCD600-D0002;CAMERA DAY/NIGHT FIXED ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ;CCTV;ΚΑΜΕΡΕΣ DOME;1,00;130,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;130,25;0,00;0,00;1,00;130,25;130,25;0,00;0,00;130,25;0,00;
108;003597;RM-4;RM Series Personality Module with tamper switch and support for keypad data via Wiegand data stream;ACCESS CONTROL;READERS;3,00;460,41;0,00;0,00;0,00;0,00;8,00;1.571,00;1,00;0,00;11,00;2.031,41;1,00;0,00;10,00;1.877,93;460,41;0,00;0,00;1.877,94;0,00;
109;003598;261-801;A/RITE ADJ Z&L BKT+CVR-260;ACCESS CONTROL;ΗΛΕΚΤΡΟΜΑΓΝΗΤΕΣ/ΚΥΠΡΙ/ΗΛΕΚΤΡΙΚΕΣ ΚΛΕΙΔΑΡΙΕΣ;75,00;1.230,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;75,00;1.230,45;0,00;0,00;75,00;1.230,45;1.230,45;0,00;0,00;1.230,45;0,00;
110;003603;RM-4E;RM-4E Enhanced RM-4 board has two additional door relays requires 12V DC -280mA max. (excluding lock : reader) ;ACCESS CONTROL;READERS;7,00;780,85;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;8,00;780,85;0,00;0,00;8,00;892,40;780,85;0,00;0,00;892,40;0,00;
111;003608;KT-MOD-SPI-16;KT-400 SPI Cable 16 inch;ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;9,00;96,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;96,29;0,00;0,00;9,00;96,29;96,29;0,00;0,00;96,29;0,00;
112;003613;910-82-MSDW2264;MS WIN SVR STD 2022 64BIT ENG 1PK DSP OEI DVD 16C;IT;LICENSE/SOFTWARE IT;6,00;4.320,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;6,00;4.320,00;1,00;0,00;5,00;3.600,00;4.320,00;0,00;0,00;3.600,00;0,00;
113;003614;CCTV;ΚΑΤΑΓΡΑΦΙΚΟ CCTV;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
114;003626;599.047.030;Address labels 1 - 250 Loop A - white;FIRE DETECTION;ACCESSORIES FIRE CONVENTIONAL;1,00;10,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;10,66;0,00;0,00;1,00;10,66;10,66;0,00;0,00;10,66;0,00;
115;003628;516.800.915;Detector address flags (pack of 100);FIRE DETECTION;LICENSE/SOFTWARE FIRE DET;15,00;45,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;45,71;0,00;0,00;15,00;45,71;45,71;0,00;0,00;45,71;0,00;
116;003631;ESTAR002-POE1;iSTAR Edge, with Enclosure and PoE Module. 64 MB RAM, supports two readers and PoE/PoE Plus power module. 12/24 VDC input. Note:;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;1,00;760,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;760,10;0,00;0,00;1,00;760,10;760,10;0,00;0,00;760,10;0,00;
117;003633;CC9000-KIT;Important ! C•CURE 9000 Software Includes Microsoft SQL 2019 Express available for download from the swhouse.com website after r;ACCESS CONTROL;LICENSE/SOFTWARE ACCESS CONTROL;1,00;40,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;40,00;0,00;0,00;1,00;40,00;40,00;0,00;0,00;40,00;0,00;
118;003646;568.800.003;RIM800 Relay interface module;FIRE DETECTION;MODULE FIRE ADDRESSABLE;99,00;2.179,20;0,00;0,00;0,00;0,00;195,00;3.026,67;60,00;1.961,80;294,00;5.205,87;60,00;1.961,80;234,00;3.713,10;2.179,20;952,08;1.961,80;3.713,11;51,47;
119;003647;545.800.004;LIM800 Ancillary line isolator module;FIRE DETECTION;MODULE FIRE ADDRESSABLE;4,00;81,18;0,00;0,00;0,00;0,00;0,00;0,00;4,00;567,12;4,00;81,18;4,00;567,12;0,00;0,00;81,18;81,18;567,12;0,00;85,69;
120;003664;AAS-303;ΕΞΩΤΕΡΙΚΗ ΣΕΙΡΗΝΑ;FIRE DETECTION;ΣΕΙΡΗΝΕΣ FIRE ADDRESSABLE;1,00;15,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;15,60;0,00;0,00;1,00;15,60;15,60;0,00;0,00;15,60;0,00;
121;003666;BV-501;BRAVO MOTION DETECTOR;INTRUSION/BA;ΑΝΙΧΝΕΥΤΕΣ/RADAR BA;0,00;0,00;0,00;0,00;0,00;0,00;3,00;97,44;0,00;0,00;3,00;97,44;0,00;0,00;3,00;97,44;0,00;0,00;0,00;97,44;0,00;
122;003702;SRW2024P-K9-EU;SG 300-28P 28-PORT GIGABIT PoE SWITCH;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;2,00;137,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;137,00;0,00;0,00;2,00;137,00;137,00;0,00;0,00;137,00;0,00;
123;003710;CAB6/WH;Καλώδιο 3 ζευγών;ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;0,00;0,00;0,00;0,00;0,00;0,00;1,00;33,30;0,00;0,00;1,00;33,30;0,00;0,00;1,00;33,00;0,00;0,00;0,00;33,00;0,00;
124;003714;IDS-68;Rigid Plastic Card holder, Transparent, landscape holder which protects both the front and back of the card. Suitable for Prox o;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;100,00;81,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100,00;81,40;0,00;0,00;100,00;81,40;81,40;0,00;0,00;81,39;0,00;
125;003721;ADEIP8H-EU;8 CHANNEL ENCODER, H.264;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;1,00;138,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;138,04;0,00;0,00;1,00;138,04;138,04;0,00;0,00;138,04;0,00;
126;003729;ADVEC01;One (1) Additional Camera License for VideoEdge NVR v4.0 and later;CCTV;LICENSE/SOFTWARE CCTV;929,00;1.417,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;929,00;1.417,65;0,00;0,00;929,00;1.417,65;1.417,65;0,00;0,00;1.417,80;0,00;
127;003747;ADCIM6WALLWK;Illustra 600 wall mount for indoor or outdoor use, white. Can be used with Illustra 200 / 600 outdoor mini domes, 625 PTZ Indoor;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;223,00;15.039,34;0,00;0,00;0,00;0,00;0,00;15.047,49;0,00;0,00;223,00;30.086,83;0,00;0,00;223,00;15.317,20;15.039,34;0,00;0,00;15.317,25;0,00;
128;003748;FD 8361;Κάμερα IP, Dome 2MP, με IR, 3-9mm φακός;CCTV;ΚΑΜΕΡΕΣ DOME;1,00;560,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;560,85;0,00;0,00;1,00;560,85;560,85;0,00;0,00;560,85;0,00;
129;003787;CBLK-IT100;Cable kit, RS-232 cable/connector set, for Integration from DSC IT-100 to KT-400 or EntraPass, 3m;ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;7,00;147,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;147,97;0,00;0,00;7,00;147,97;147,97;0,00;0,00;147,97;0,00;
130;003824;515.001.036;STI6535 Weather stopper for callpoints up to 100mm square;FIRE EXTINGUISHING;EXTINGUISHING ELECTRONIC KIT;1,00;31,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;31,10;0,00;0,00;1,00;31,10;31,10;0,00;0,00;31,10;0,00;
131;003841;O-FL65;Φωτιστικό ένδειξης κινδύνου 24V IP65;FIRE EXTINGUISHING;EXTINGUISHING ELECTRONIC KIT;1,00;30,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;30,26;0,00;0,00;1,00;30,26;30,26;0,00;0,00;30,26;0,00;
132;003870;ROENDC;Dome mount adapter, Optima (indoor) / Ultra (indoor/outdoor), end cap assembly;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;3,00;80,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;80,43;0,00;0,00;3,00;80,43;80,43;0,00;0,00;80,43;0,00;
133;003883;NED-9875840;Adjustable Mounting Set, the uPASS Reach can be adjusted at the desired angle to ensure reliable reading;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;6,00;786,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;786,99;0,00;0,00;6,00;786,99;786,99;0,00;0,00;786,99;0,00;
134;003885;9958240;Access reader grey;ACCESS CONTROL;READERS;1,00;370,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;370,00;0,00;0,00;1,00;370,00;370,00;0,00;0,00;370,00;0,00;
135;003890;HDD 1TB;Σκληρός δίσκος 1TB;IT;ΣΚΛΗΡΟΙ ΔΙΣΚΟΙ;1,00;49,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;49,78;0,00;0,00;1,00;49,78;49,78;0,00;0,00;49,78;0,00;
136;003906;ADVER03N0H3A;VideoEdge Hybrid NVR 3U rackmount, 64 channels, 3TB;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;1,00;322,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;322,38;0,00;0,00;1,00;322,38;322,38;0,00;0,00;322,38;0,00;
137;003944;ADCI400-D024;Illustra 400, outdoor, 3.3-12mm, TDN, IR, white, smoke bubble;CCTV;ΕΙΔΙΚΕΣ ΚΑΜΕΡΕΣ;6,00;1.770,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;1.770,27;0,00;0,00;6,00;1.770,27;1.770,27;0,00;0,00;1.770,27;0,00;
138;003956;ALN-EN;Intelligent optical smoke sensor;FIRE DETECTION;ΑΝΙΧΝΕΥΤΕΣ FIRE ADDRESSABLE;9,00;240,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;240,57;0,00;0,00;9,00;240,57;240,57;0,00;0,00;240,57;0,00;
139;003957;ATJ-EN;Intelligent heat sensor;FIRE DETECTION;ΑΝΙΧΝΕΥΤΕΣ FIRE ADDRESSABLE;6,00;113,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;113,07;0,00;0,00;6,00;113,07;113,07;0,00;0,00;113,07;0,00;
140;003958;YBN-R/3;Sensor mgt base;FIRE DETECTION;DETECTOR BASE FIRE DETECTION;69,00;97,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;69,00;97,64;0,00;0,00;69,00;97,64;97,64;0,00;0,00;97,64;0,00;
141;003961;YBO-BSB;Addressable base sounder/beacon;FIRE DETECTION;ΣΕΙΡΗΝΕΣ FIRE ADDRESSABLE;1,00;35,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;35,06;0,00;0,00;1,00;35,06;35,06;0,00;0,00;35,06;0,00;
142;003962;SR Mounting box;Surface mounting box-red;FIRE DETECTION;ACCESSORIES FIRE CONVENTIONAL;1,00;1,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,43;0,00;0,00;1,00;1,43;1,43;0,00;0,00;1,43;0,00;
143;003971;LICG24HD;Κάμερα CCTV, εσωτερικού χώρου, με κάλυμμα, με τροφοδοτικό και τα ανάλογα μήκη ηλεκτρικής γραμμής;CCTV;ΚΑΜΕΡΕΣ BULLET;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
144;003979;H81161M2;Syncro AS analogue addressable fire control panel surface hochiki protocol no enable keyswitch;FIRE DETECTION;ΠΙΝΑΚΕΣ FIRE ADDRESSABLE;1,00;326,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;326,47;0,00;0,00;1,00;326,47;326,47;0,00;0,00;326,47;0,00;
145;003988;MBK06-050CA-P1D;ΠΥΡΟΣΒΕΣΤΗΡΑΣ CO2 5KG;FIRE EXTINGUISHING;ΠΥΡΟΣΒΕΣΤΗΡΕΣ;5,00;223,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;223,51;0,00;0,00;5,00;223,51;223,51;0,00;0,00;223,51;0,00;
146;003991;MBK05-FS-STATION;Πυροσβεστικός σταθμός εργαλείων;FIRE EXTINGUISHING;ΠΥΡΟΣΒΕΣΤΙΚΕΣ ΦΩΛΙΕΣ;9,00;291,46;0,00;0,00;0,00;0,00;3,00;94,61;3,00;536,75;12,00;386,07;3,00;536,75;9,00;291,55;291,46;97,18;536,75;291,54;81,89;
147;003992;557.202.210;PSU830 Power supply module;ΛΟΙΠΑ;ΤΡΟΦΟΔΟΤΙΚΑ;1,00;827,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;827,56;0,00;0,00;1,00;827,56;827,56;0,00;0,00;827,56;0,00;
148;004003;73130006;CYLINDER MOD/AUX 80L 23 M3I-FLOW FOR INERT IG-541 300 BAR WITH PRESSURE SWITCH GAUGE N/A//NE;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1.245,63;1,00;1.538,04;1,00;1.245,63;1,00;1.538,04;0,00;0,00;0,00;1.245,63;1.538,04;0,00;19,01;
149;004014;36116293;MATRIZ I-FLOW BRACKET;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;0,00;0,00;0,00;0,00;0,00;0,00;1,00;101,97;1,00;13,16;1,00;101,97;1,00;13,16;0,00;0,00;0,00;101,97;13,16;0,00;-674,85;
150;004015;36116292;SCREW MATRIX BRACKET SET 2 NUTS;ΛΟΙΠΑ;ΛΟΙΠΑ ΠΑΡΕΛΚΟΜΕΝΑ;0,00;0,00;0,00;0,00;0,00;0,00;1,00;103,18;1,00;14,79;1,00;103,18;1,00;14,79;0,00;0,00;0,00;103,18;14,79;0,00;-597,63;
151;004016;36116291;SUPPORT SCREW SET HZ P/RAIL TYPE 41;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;0,00;0,00;0,00;0,00;0,00;0,00;1,00;97,32;1,00;6,96;1,00;97,32;1,00;6,96;0,00;0,00;0,00;97,32;6,96;0,00;-1.298,28;
152;004054;RILED/24F;Φωτεινός Επαναλήπτης;FIRE DETECTION;ΑΝΙΧΝΕΥΤΕΣ FIRE CONVENTIONAL;1,00;9,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;9,04;0,00;0,00;1,00;9,04;9,04;0,00;0,00;9,04;0,00;
153;004055;CHQ-SIM;Input Module;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;12,00;173,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;173,08;0,00;0,00;12,00;173,08;173,08;0,00;0,00;173,08;0,00;
154;004074;S551H;Syncro Loop 1&2 PCB HOCHIKI;FIRE DETECTION;ΠΙΝΑΚΕΣ FIRE ADDRESSABLE;1,00;250,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;250,91;0,00;0,00;1,00;250,91;250,91;0,00;0,00;250,91;0,00;
155;004077;RM2L-NH;RM Keypad Arming Station with LCD Does not include read head;ACCESS CONTROL;READERS;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
156;004078;900PTNTEK00000;RDR , RP10 MULTICLASS SE REV;ACCESS CONTROL;READERS;1,00;112,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;112,39;0,00;0,00;1,00;112,39;112,39;0,00;0,00;112,39;0,00;
157;004093;637.008.406;A/RITE 281 NON-MON SINGLE MAG;ACCESS CONTROL;ΗΛΕΚΤΡΟΜΑΓΝΗΤΕΣ/ΚΥΠΡΙ/ΗΛΕΚΤΡΙΚΕΣ ΚΛΕΙΔΑΡΙΕΣ;7,00;291,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;291,03;0,00;0,00;7,00;291,03;291,03;0,00;0,00;291,03;0,00;
158;004102;516.830.053;830H HEAT DETECTOR;FIRE DETECTION;ΑΝΙΧΝΕΥΤΕΣ FIRE ADDRESSABLE;8,00;204,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;204,93;0,00;0,00;8,00;204,93;204,93;0,00;0,00;204,93;0,00;
159;004122;346040;ΤΡΟΦΟΔΟΤΙΚΟ 2Κ, ΕΩΣ 20 ΘΥΡ/ΝΑ MAX;ΛΟΙΠΑ;ΤΡΟΦΟΔΟΤΙΚΑ;1,00;38,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;38,34;0,00;0,00;1,00;38,34;38,34;0,00;0,00;38,34;0,00;
160;004123;344242;SPRINT BASE ΘΥΡΟΤΗΛΕΦΩΝΟ 2Κ ΛΕΥΚΟ;INTERCOM;ΘΥΡΟΤΗΛΕΦΩΝΑ;1,00;22,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;22,14;0,00;0,00;1,00;22,14;22,14;0,00;0,00;22,14;0,00;
161;004134;DS-2CE15C2P-VFIR3;True Day/Night camera white;CCTV;ΚΑΜΕΡΕΣ BULLET;1,00;45,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;45,58;0,00;0,00;1,00;45,58;45,58;0,00;0,00;45,58;0,00;
162;004138;DS-2CC12C2S-IT3;ARRAY LED BULLET CAM 3.6mm;CCTV;ΚΑΜΕΡΕΣ BULLET;2,00;27,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;27,60;0,00;0,00;2,00;27,60;27,60;0,00;0,00;27,60;0,00;
163;004152;J408-8;8 ZONE FIRE CONTROL PANEL;FIRE DETECTION;ΠΙΝΑΚΕΣ FIRE ADDRESSABLE;1,00;163,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;163,73;0,00;0,00;1,00;163,73;163,73;0,00;0,00;163,73;0,00;
